time,chassis_x,chassis_y,chassis_yaw,head_joint1,head_joint2,leg_joint1,leg_joint2,leg_joint3,leg_joint4,leg_joint5,left_arm_joint1,left_arm_joint2,left_arm_joint3,left_arm_joint4,left_arm_joint5,left_arm_joint6,left_arm_joint7,right_arm_joint1,right_arm_joint2,right_arm_joint3,right_arm_joint4,right_arm_joint5,right_arm_joint6,right_arm_joint7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,1.000000,-0.700000,-0.400000,-1.570000,0.000000,0.000000,0.000000,-1.000000,0.700000,0.400000,1.570000,0.000000,0.000000,0.000000
0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264507,0.656796,0.399438,0.016940,-0.013046,0.985377,-0.698417,-0.388578,-1.581400,0.011470,0.004145,0.005835,-0.999890,0.760882,0.355293,1.628515,-0.046543,-0.075353,0.058526
0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.281202,0.663100,0.398705,0.037029,-0.024139,0.970426,-0.698611,-0.376298,-1.595191,0.022650,0.006903,0.011626,-0.996493,0.822497,0.308984,1.679560,-0.094381,-0.150571,0.114643
0.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.299930,0.668879,0.397731,0.060171,-0.033523,0.955096,-0.700477,-0.363180,-1.611128,0.033496,0.008323,0.017534,-0.989687,0.885308,0.261088,1.722563,-0.143641,-0.225455,0.168752
0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.320530,0.674100,0.396438,0.086246,-0.041410,0.939384,-0.703915,-0.349269,-1.628906,0.043924,0.008392,0.023696,-0.979268,0.949679,0.211829,1.756776,-0.194206,-0.299691,0.221148
0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.342815,0.678720,0.394748,0.115091,-0.047953,0.923350,-0.708836,-0.334658,-1.648180,0.053797,0.007055,0.030213,-0.964992,1.015848,0.161724,1.781352,-0.245688,-0.372844,0.272045
0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.366567,0.682665,0.392607,0.146507,-0.053220,0.907118,-0.715150,-0.319512,-1.668599,0.062904,0.004218,0.037129,-0.946619,1.083889,0.111645,1.795481,-0.297439,-0.444380,0.321592
0.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.391595,0.685252,0.390443,0.180810,-0.056551,0.890943,-0.722925,-0.304455,-1.690828,0.070477,-0.000453,0.044227,-0.924673,1.152974,0.063833,1.801089,-0.349713,-0.514990,0.369279
0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.417015,0.691187,0.384431,0.212799,-0.063246,0.874579,-0.730611,-0.286545,-1.706119,0.080342,-0.005095,0.053018,-0.892875,1.228861,0.011736,1.775167,-0.390921,-0.572297,0.420854
0.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.443577,0.691854,0.381111,0.250638,-0.063812,0.859153,-0.740549,-0.271796,-1.728923,0.084962,-0.013130,0.060657,-0.861694,1.300596,-0.028975,1.756293,-0.437819,-0.635547,0.466963
0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.470987,0.691019,0.377666,0.290920,-0.062880,0.844095,-0.751351,-0.257775,-1.752878,0.087310,-0.023201,0.068533,-0.826181,1.372485,-0.064120,1.727275,-0.482234,-0.695324,0.512431
0.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500527,0.697144,0.379152,0.330215,-0.069788,0.830868,-0.759264,-0.244826,-1.776370,0.093258,-0.033945,0.077578,-0.791399,1.456221,-0.086299,1.674086,-0.524755,-0.733526,0.559949
0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.531591,0.719030,0.386316,0.363131,-0.080139,0.820660,-0.763093,-0.221695,-1.784378,0.102049,-0.051068,0.076265,-0.758293,1.557682,-0.087610,1.576311,-0.568748,-0.733152,0.607352
0.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.570700,0.780521,0.448316,0.423738,-0.091568,0.797918,-0.818712,-0.192864,-1.763128,0.148759,-0.109091,0.087525,-0.706859,1.605436,-0.108514,1.469138,-0.524255,-0.733386,0.737132
0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.602747,0.855898,0.516772,0.501716,-0.050855,0.749089,-0.917500,-0.112110,-1.663553,0.185599,-0.210868,0.061963,-0.625459,1.604585,-0.139872,1.321903,-0.438709,-0.730288,0.876813
0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.602747,0.855898,0.516772,0.501716,-0.050855,0.749089,-0.917500,-0.112110,-1.663553,0.185599,-0.210868,0.061963,-0.625459,1.604585,-0.139872,1.321903,-0.438709,-0.730288,0.876813
0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.602747,0.855898,0.516772,0.501716,-0.050855,0.749089,-0.917500,-0.112110,-1.663553,0.185599,-0.210868,0.061963,-0.625459,1.604585,-0.139872,1.321903,-0.438709,-0.730288,0.876813
0.850000,0.000000,0.000000,0.000000,0.000000,0.000000,0.602747,0.855898,0.516772,0.501716,-0.050855,0.749089,-0.917500,-0.112110,-1.663553,0.185599,-0.210868,0.061963,-0.625459,1.604585,-0.139872,1.321903,-0.438709,-0.730288,0.876813
0.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.602747,0.855898,0.516772,0.501716,-0.050855,0.749089,-0.917500,-0.112110,-1.663553,0.185599,-0.210868,0.061963,-0.625459,1.604585,-0.139872,1.321903,-0.438709,-0.730288,0.876813
