time,chassis_x,chassis_y,chassis_yaw,head_joint1,head_joint2,leg_joint1,leg_joint2,leg_joint3,leg_joint4,leg_joint5,left_arm_joint1,left_arm_joint2,left_arm_joint3,left_arm_joint4,left_arm_joint5,left_arm_joint6,left_arm_joint7,right_arm_joint1,right_arm_joint2,right_arm_joint3,right_arm_joint4,right_arm_joint5,right_arm_joint6,right_arm_joint7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,1.000000,-0.700000,-0.400000,-1.570000,0.000000,0.000000,0.000000,-1.000000,0.700000,0.400000,1.570000,0.000000,0.000000,0.000000
0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.262259,0.663921,0.400706,0.012246,-0.023560,0.983163,-0.694015,-0.385971,-1.574367,0.016597,0.007626,0.008495,-1.006707,0.780555,0.338357,1.652568,-0.055559,-0.099296,0.069725
0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.277913,0.676923,0.401089,0.029495,-0.043941,0.965816,-0.690657,-0.370680,-1.582856,0.032817,0.013284,0.016922,-1.008775,0.862808,0.272953,1.723932,-0.114115,-0.198946,0.136482
0.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.296632,0.688870,0.400999,0.051539,-0.061483,0.947758,-0.689851,-0.354043,-1.595057,0.048653,0.017191,0.025593,-1.005943,0.948076,0.203395,1.782536,-0.176164,-0.298657,0.201136
0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.317690,0.697638,0.401678,0.078953,-0.073186,0.929788,-0.692619,-0.337512,-1.612676,0.062093,0.018394,0.033550,-0.999958,1.035686,0.134715,1.833825,-0.245448,-0.401758,0.260914
0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.342984,0.719867,0.391212,0.102845,-0.105995,0.905849,-0.689611,-0.309705,-1.615021,0.088381,0.025169,0.050559,-0.971811,1.140758,0.032039,1.810536,-0.281918,-0.472802,0.345305
0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.366425,0.736166,0.381825,0.127320,-0.125469,0.887054,-0.692661,-0.285983,-1.618137,0.107824,0.026006,0.063278,-0.940133,1.250459,-0.052382,1.778309,-0.324938,-0.546566,0.414623
0.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.390307,0.740207,0.378355,0.160947,-0.128605,0.870203,-0.702156,-0.268247,-1.637262,0.117493,0.022265,0.072099,-0.914066,1.353306,-0.115480,1.765071,-0.383496,-0.635461,0.473306
0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.414926,0.740790,0.374413,0.197896,-0.127372,0.853721,-0.714110,-0.251257,-1.659063,0.124151,0.016407,0.080665,-0.882342,1.459381,-0.171431,1.732913,-0.438934,-0.718801,0.532273
0.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.448176,0.772630,0.387071,0.228439,-0.154545,0.842854,-0.712384,-0.232586,-1.673780,0.145913,0.008987,0.088099,-0.865318,1.606057,-0.195838,1.631433,-0.493282,-0.731102,0.597797
0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.546758,0.956005,0.532568,0.326515,-0.101694,0.817116,-0.838707,-0.134334,-1.543633,0.213909,-0.169120,0.005822,-0.802299,1.607057,-0.313431,1.468551,-0.340563,-0.734398,0.900659
0.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.616082,1.100716,0.658660,0.442075,-0.036549,0.730215,-1.001611,-0.026598,-1.361367,0.279674,-0.337357,-0.050889,-0.692619,1.606643,-0.404234,1.281981,-0.155128,-0.726287,1.155878
0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.640834,1.167580,0.740503,0.584000,0.012539,0.606456,-1.175774,0.071582,-1.184566,0.327137,-0.460664,-0.061969,-0.572115,1.599731,-0.444708,1.129703,0.019621,-0.724432,1.337459
0.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.936400,2.318872,2.325200,0.541028,-0.163500,-0.661140,-1.509207,2.298886,-0.881322,-0.798098,-0.821665,-1.537203,0.115285,1.607063,-0.840929,0.762690,0.284680,-0.506248,1.537203
0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.936400,2.255860,2.325200,0.688174,-0.163500,-0.627342,-1.580981,2.163963,-0.855259,-0.676264,-0.821665,-1.537203,0.081342,1.607063,-0.672428,0.723956,0.111304,-0.600110,1.537203
0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.936400,2.255860,2.325200,0.688174,-0.163500,-0.627342,-1.580981,2.163963,-0.855259,-0.676264,-0.821665,-1.537203,0.081342,1.607063,-0.672428,0.723956,0.111304,-0.600110,1.537203
0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.936400,2.255860,2.325200,0.688174,-0.163500,-0.627342,-1.580981,2.163963,-0.855259,-0.676264,-0.821665,-1.537203,0.081342,1.607063,-0.672428,0.723956,0.111304,-0.600110,1.537203
0.850000,0.000000,0.000000,0.000000,0.000000,0.000000,0.936400,2.255860,2.325200,0.688174,-0.163500,-0.627342,-1.580981,2.163963,-0.855259,-0.676264,-0.821665,-1.537203,0.081342,1.607063,-0.672428,0.723956,0.111304,-0.600110,1.537203
0.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.936400,2.255860,2.325200,0.688174,-0.163500,-0.627342,-1.580981,2.163963,-0.855259,-0.676264,-0.821665,-1.537203,0.081342,1.607063,-0.672428,0.723956,0.111304,-0.600110,1.537203
0.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.936400,2.255860,2.325200,0.688174,-0.163500,-0.627342,-1.580981,2.163963,-0.855259,-0.676264,-0.821665,-1.537203,0.081342,1.607063,-0.672428,0.723956,0.111304,-0.600110,1.537203
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.936400,2.255860,2.325200,0.688174,-0.163500,-0.627342,-1.580981,2.163963,-0.855259,-0.676264,-0.821665,-1.537203,0.081342,1.607063,-0.672428,0.723956,0.111304,-0.600110,1.537203
1.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.936400,2.255860,2.325200,0.688174,-0.163500,-0.627342,-1.580981,2.163963,-0.855259,-0.676264,-0.821665,-1.537203,0.081342,1.607063,-0.672428,0.723956,0.111304,-0.600110,1.537203
1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.936400,2.255860,2.325200,0.688174,-0.163500,-0.627342,-1.580981,2.163963,-0.855259,-0.676264,-0.821665,-1.537203,0.081342,1.607063,-0.672428,0.723956,0.111304,-0.600110,1.537203
1.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.936400,2.255860,2.325200,0.688174,-0.163500,-0.627342,-1.580981,2.163963,-0.855259,-0.676264,-0.821665,-1.537203,0.081342,1.607063,-0.672428,0.723956,0.111304,-0.600110,1.537203
1.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.936400,2.255860,2.325200,0.688174,-0.163500,-0.627342,-1.580981,2.163963,-0.855259,-0.676264,-0.821665,-1.537203,0.081342,1.607063,-0.672428,0.723956,0.111304,-0.600110,1.537203
1.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.936400,2.255860,2.325200,0.688174,-0.163500,-0.627342,-1.580981,2.163963,-0.855259,-0.676264,-0.821665,-1.537203,0.081342,1.607063,-0.672428,0.723956,0.111304,-0.600110,1.537203
1.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.936400,2.255860,2.325200,0.688174,-0.163500,-0.627342,-1.580981,2.163963,-0.855259,-0.676264,-0.821665,-1.537203,0.081342,1.607063,-0.672428,0.723956,0.111304,-0.600110,1.537203
1.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.936400,2.255860,2.325200,0.688174,-0.163500,-0.627342,-1.580981,2.163963,-0.855259,-0.676264,-0.821665,-1.537203,0.081342,1.607063,-0.672428,0.723956,0.111304,-0.600110,1.537203
1.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.936400,2.255860,2.325200,0.688174,-0.163500,-0.627342,-1.580981,2.163963,-0.855259,-0.676264,-0.821665,-1.537203,0.081342,1.607063,-0.672428,0.723956,0.111304,-0.600110,1.537203
1.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.936400,2.255860,2.325200,0.688174,-0.163500,-0.627342,-1.580981,2.163963,-0.855259,-0.676264,-0.821665,-1.537203,0.081342,1.607063,-0.672428,0.723956,0.111304,-0.600110,1.537203
1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.936400,2.255860,2.325200,0.688174,-0.163500,-0.627342,-1.580981,2.163963,-0.855259,-0.676264,-0.821665,-1.537203,0.081342,1.607063,-0.672428,0.723956,0.111304,-0.600110,1.537203
1.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.936400,2.255860,2.325200,0.688174,-0.163500,-0.627342,-1.580981,2.163963,-0.855259,-0.676264,-0.821665,-1.537203,0.081342,1.607063,-0.672428,0.723956,0.111304,-0.600110,1.537203
1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.936400,2.255860,2.325200,0.688174,-0.163500,-0.627342,-1.580981,2.163963,-0.855259,-0.676264,-0.821665,-1.537203,0.081342,1.607063,-0.672428,0.723956,0.111304,-0.600110,1.537203
1.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.936400,2.262699,2.247146,0.576795,-0.118482,-0.577094,-1.498922,2.208833,-0.841192,-0.721879,-0.821665,-1.537203,0.045599,1.581528,-0.796381,0.788358,0.206379,-0.540486,1.537203
1.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.933777,2.292026,2.229543,0.461377,-0.093034,-0.569980,-1.399000,2.228086,-0.864516,-0.749332,-0.808289,-1.537203,0.006219,1.554662,-0.814256,0.864143,0.165462,-0.495835,1.475190
1.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.935828,2.316815,2.204716,0.378814,-0.088943,-0.548748,-1.332043,2.250790,-0.862115,-0.779696,-0.803506,-1.518964,-0.033629,1.496635,-0.838476,0.941995,0.165912,-0.440275,1.441131
