time,chassis_x,chassis_y,chassis_yaw,head_joint1,head_joint2,leg_joint1,leg_joint2,leg_joint3,leg_joint4,leg_joint5,left_arm_joint1,left_arm_joint2,left_arm_joint3,left_arm_joint4,left_arm_joint5,left_arm_joint6,left_arm_joint7,right_arm_joint1,right_arm_joint2,right_arm_joint3,right_arm_joint4,right_arm_joint5,right_arm_joint6,right_arm_joint7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,1.000000,-0.700000,-0.400000,-1.570000,0.000000,0.000000,0.000000,-1.000000,0.700000,0.400000,1.570000,0.000000,0.000000,0.000000
0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.262259,0.663921,0.400706,0.012246,-0.023560,0.983163,-0.694015,-0.385971,-1.574367,0.016597,0.007626,0.008495,-1.006707,0.780555,0.338357,1.652568,-0.055559,-0.099296,0.069725
0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.277913,0.676923,0.401089,0.029495,-0.043941,0.965816,-0.690657,-0.370680,-1.582856,0.032817,0.013284,0.016922,-1.008775,0.862808,0.272953,1.723932,-0.114115,-0.198946,0.136482
0.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.296632,0.688870,0.400999,0.051539,-0.061483,0.947758,-0.689851,-0.354043,-1.595057,0.048653,0.017191,0.025593,-1.005943,0.948076,0.203395,1.782536,-0.176164,-0.298657,0.201136
0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.318034,0.699627,0.400220,0.078048,-0.076441,0.928941,-0.691546,-0.336066,-1.610331,0.063996,0.019409,0.034757,-0.997696,1.037515,0.129903,1.826099,-0.241451,-0.397739,0.264275
0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.341603,0.709004,0.398536,0.108500,-0.088858,0.909544,-0.695714,-0.316941,-1.627846,0.078551,0.019854,0.044511,-0.983412,1.131983,0.053780,1.851913,-0.308758,-0.495053,0.326243
0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.366681,0.716643,0.395843,0.142229,-0.098420,0.889991,-0.702348,-0.297138,-1.646816,0.091758,0.018336,0.054710,-0.962616,1.231795,-0.022225,1.857544,-0.375960,-0.589081,0.387207
0.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.392581,0.721909,0.392256,0.178706,-0.104460,0.870804,-0.711445,-0.277405,-1.666927,0.102781,0.014621,0.064997,-0.935222,1.336518,-0.094159,1.841758,-0.440636,-0.678211,0.447330
0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.421920,0.738734,0.396338,0.213299,-0.120000,0.854655,-0.716299,-0.257798,-1.684866,0.118528,0.008887,0.074192,-0.910408,1.462088,-0.149658,1.783376,-0.501951,-0.733520,0.510151
0.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.460920,0.790112,0.424855,0.245892,-0.148023,0.844208,-0.721488,-0.232202,-1.685864,0.147982,-0.012492,0.073921,-0.892230,1.604435,-0.183035,1.665809,-0.543062,-0.733297,0.597371
0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.558229,0.978705,0.575102,0.335288,-0.092158,0.822183,-0.848195,-0.136674,-1.545589,0.217234,-0.195444,-0.015579,-0.820646,1.607063,-0.300282,1.485575,-0.394083,-0.734398,0.895604
0.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.627152,1.128702,0.703986,0.442866,-0.021530,0.735370,-1.014008,-0.030627,-1.351060,0.284102,-0.367623,-0.079651,-0.704408,1.606997,-0.390739,1.284943,-0.213206,-0.726187,1.143876
0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.652172,1.200626,0.787671,0.581757,0.031364,0.608014,-1.192095,0.067396,-1.162118,0.333347,-0.494403,-0.095681,-0.580841,1.600059,-0.430003,1.123236,-0.041860,-0.724237,1.320994
0.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.655410,1.215709,0.836743,0.728381,0.052414,0.500083,-1.341862,0.141501,-1.034138,0.360671,-0.576586,-0.082644,-0.469633,1.597964,-0.426913,0.998072,0.086734,-0.727241,1.443859
0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.651928,1.204065,0.869680,0.871135,0.056922,0.420194,-1.467541,0.198651,-0.953155,0.370204,-0.636352,-0.057438,-0.363794,1.597796,-0.403261,0.880434,0.178695,-0.729430,1.531958
0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.651928,1.204065,0.869680,0.871135,0.056922,0.420194,-1.467541,0.198651,-0.953155,0.370204,-0.636352,-0.057438,-0.363794,1.597796,-0.403261,0.880434,0.178695,-0.729430,1.531958
0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.651928,1.204065,0.869680,0.871135,0.056922,0.420194,-1.467541,0.198651,-0.953155,0.370204,-0.636352,-0.057438,-0.363794,1.597796,-0.403261,0.880434,0.178695,-0.729430,1.531958
0.850000,0.000000,0.000000,0.000000,0.000000,0.000000,0.651928,1.204065,0.869680,0.871135,0.056922,0.420194,-1.467541,0.198651,-0.953155,0.370204,-0.636352,-0.057438,-0.363794,1.597796,-0.403261,0.880434,0.178695,-0.729430,1.531958
0.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.651928,1.204065,0.869680,0.871135,0.056922,0.420194,-1.467541,0.198651,-0.953155,0.370204,-0.636352,-0.057438,-0.363794,1.597796,-0.403261,0.880434,0.178695,-0.729430,1.531958
0.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.651928,1.204065,0.869680,0.871135,0.056922,0.420194,-1.467541,0.198651,-0.953155,0.370204,-0.636352,-0.057438,-0.363794,1.597796,-0.403261,0.880434,0.178695,-0.729430,1.531958
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.651928,1.204065,0.869680,0.871135,0.056922,0.420194,-1.467541,0.198651,-0.953155,0.370204,-0.636352,-0.057438,-0.363794,1.597796,-0.403261,0.880434,0.178695,-0.729430,1.531958
1.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.651928,1.204065,0.869680,0.871135,0.056922,0.420194,-1.467541,0.198651,-0.953155,0.370204,-0.636352,-0.057438,-0.363794,1.597796,-0.403261,0.880434,0.178695,-0.729430,1.531958
1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.651928,1.204065,0.869680,0.871135,0.056922,0.420194,-1.467541,0.198651,-0.953155,0.370204,-0.636352,-0.057438,-0.363794,1.597796,-0.403261,0.880434,0.178695,-0.729430,1.531958
1.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.651928,1.204065,0.869680,0.871135,0.056922,0.420194,-1.467541,0.198651,-0.953155,0.370204,-0.636352,-0.057438,-0.363794,1.597796,-0.403261,0.880434,0.178695,-0.729430,1.531958
1.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.651928,1.204065,0.869680,0.871135,0.056922,0.420194,-1.467541,0.198651,-0.953155,0.370204,-0.636352,-0.057438,-0.363794,1.597796,-0.403261,0.880434,0.178695,-0.729430,1.531958
1.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.651928,1.204065,0.869680,0.871135,0.056922,0.420194,-1.467541,0.198651,-0.953155,0.370204,-0.636352,-0.057438,-0.363794,1.597796,-0.403261,0.880434,0.178695,-0.729430,1.531958
1.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.651928,1.204065,0.869680,0.871135,0.056922,0.420194,-1.467541,0.198651,-0.953155,0.370204,-0.636352,-0.057438,-0.363794,1.597796,-0.403261,0.880434,0.178695,-0.729430,1.531958
1.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.651928,1.204065,0.869680,0.871135,0.056922,0.420194,-1.467541,0.198651,-0.953155,0.370204,-0.636352,-0.057438,-0.363794,1.597796,-0.403261,0.880434,0.178695,-0.729430,1.531958
1.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.651928,1.204065,0.869680,0.871135,0.056922,0.420194,-1.467541,0.198651,-0.953155,0.370204,-0.636352,-0.057438,-0.363794,1.597796,-0.403261,0.880434,0.178695,-0.729430,1.531958
1.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.651928,1.204065,0.869680,0.871135,0.056922,0.420194,-1.467541,0.198651,-0.953155,0.370204,-0.636352,-0.057438,-0.363794,1.597796,-0.403261,0.880434,0.178695,-0.729430,1.531958
1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.651928,1.204065,0.869680,0.871135,0.056922,0.420194,-1.467541,0.198651,-0.953155,0.370204,-0.636352,-0.057438,-0.363794,1.597796,-0.403261,0.880434,0.178695,-0.729430,1.531958
1.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.651928,1.204065,0.869680,0.871135,0.056922,0.420194,-1.467541,0.198651,-0.953155,0.370204,-0.636352,-0.057438,-0.363794,1.597796,-0.403261,0.880434,0.178695,-0.729430,1.531958
1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.651928,1.204065,0.869680,0.871135,0.056922,0.420194,-1.467541,0.198651,-0.953155,0.370204,-0.636352,-0.057438,-0.363794,1.597796,-0.403261,0.880434,0.178695,-0.729430,1.531958
1.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.647172,1.242696,0.855907,0.775991,0.030674,0.435289,-1.417856,0.181576,-0.907636,0.393405,-0.609462,-0.079757,-0.451060,1.550664,-0.438925,0.978964,0.188760,-0.681356,1.476409
1.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.641316,1.276008,0.847048,0.695680,0.003237,0.447244,-1.373242,0.167160,-0.868008,0.409528,-0.586863,-0.096229,-0.526413,1.490654,-0.468765,1.066542,0.198816,-0.626880,1.423395
1.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.634930,1.304325,0.841895,0.627825,-0.023126,0.457027,-1.333180,0.154480,-0.835143,0.420459,-0.567953,-0.108542,-0.591404,1.420908,-0.492547,1.142324,0.208228,-0.565630,1.373016
