time,chassis_x,chassis_y,chassis_yaw,head_joint1,head_joint2,leg_joint1,leg_joint2,leg_joint3,leg_joint4,leg_joint5,left_arm_joint1,left_arm_joint2,left_arm_joint3,left_arm_joint4,left_arm_joint5,left_arm_joint6,left_arm_joint7,right_arm_joint1,right_arm_joint2,right_arm_joint3,right_arm_joint4,right_arm_joint5,right_arm_joint6,right_arm_joint7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,1.000000,-0.700000,-0.400000,-1.570000,0.000000,0.000000,0.000000,-1.000000,0.700000,0.400000,1.570000,0.000000,0.000000,0.000000
0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.266792,0.662216,0.399951,0.015245,-0.019622,0.984373,-0.695946,-0.387137,-1.578567,0.015221,0.005173,0.006352,-0.999766,0.767487,0.350693,1.638136,-0.046319,-0.085866,0.059708
0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.286113,0.673952,0.399644,0.034067,-0.037150,0.968395,-0.693789,-0.373263,-1.589935,0.030215,0.008864,0.012795,-0.995735,0.836158,0.299147,1.697956,-0.094290,-0.171813,0.116894
0.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.307775,0.685195,0.399011,0.056324,-0.052885,0.951982,-0.693427,-0.358351,-1.603804,0.044976,0.011176,0.019533,-0.987771,0.906746,0.245240,1.748650,-0.144179,-0.257641,0.172091
0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.331570,0.695931,0.397951,0.081830,-0.067078,0.935118,-0.694769,-0.342414,-1.619779,0.059450,0.012130,0.026744,-0.975615,0.979867,0.189135,1.789091,-0.195907,-0.342966,0.225683
0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.357104,0.704767,0.397448,0.111087,-0.077707,0.918458,-0.698432,-0.326567,-1.639179,0.072177,0.010950,0.033692,-0.960570,1.054620,0.134762,1.823640,-0.251862,-0.430142,0.275628
0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.384780,0.723190,0.388348,0.136549,-0.103031,0.897817,-0.698306,-0.302552,-1.645821,0.093898,0.013786,0.047400,-0.928715,1.142268,0.057422,1.801883,-0.283117,-0.492515,0.342389
0.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.411579,0.737667,0.380129,0.163034,-0.119674,0.880579,-0.702063,-0.281299,-1.653612,0.110878,0.012542,0.058449,-0.894084,1.231953,-0.006810,1.774498,-0.318338,-0.556415,0.399371
0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.439445,0.744131,0.376827,0.196756,-0.125323,0.865153,-0.710024,-0.264628,-1.673214,0.120618,0.007185,0.066616,-0.863271,1.315747,-0.054252,1.763499,-0.365391,-0.632078,0.447574
0.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.468206,0.748909,0.373292,0.232931,-0.128679,0.850161,-0.719398,-0.248383,-1.694309,0.128306,0.000001,0.074880,-0.827856,1.401057,-0.096243,1.739844,-0.410164,-0.703784,0.495448
0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500976,0.771577,0.379904,0.264902,-0.148264,0.838123,-0.721365,-0.230979,-1.710190,0.144658,-0.008358,0.082904,-0.798269,1.510784,-0.119841,1.671998,-0.452850,-0.733395,0.547414
0.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.543282,0.830516,0.413512,0.304895,-0.161932,0.824260,-0.744006,-0.195318,-1.691278,0.175309,-0.047830,0.076487,-0.763138,1.605042,-0.143872,1.561723,-0.453047,-0.733566,0.642668
