time,chassis_x,chassis_y,chassis_yaw,head_joint1,head_joint2,leg_joint1,leg_joint2,leg_joint3,leg_joint4,leg_joint5,left_arm_joint1,left_arm_joint2,left_arm_joint3,left_arm_joint4,left_arm_joint5,left_arm_joint6,left_arm_joint7,right_arm_joint1,right_arm_joint2,right_arm_joint3,right_arm_joint4,right_arm_joint5,right_arm_joint6,right_arm_joint7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,1.000000,-0.700000,-0.400000,-1.570000,0.000000,0.000000,0.000000,-1.000000,0.700000,0.400000,1.570000,0.000000,0.000000,0.000000
0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.266792,0.662216,0.399951,0.015245,-0.019622,0.984373,-0.695946,-0.387137,-1.578567,0.015221,0.005173,0.006352,-0.999766,0.767487,0.350693,1.638136,-0.046319,-0.085866,0.059708
0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.286113,0.673952,0.399644,0.034067,-0.037150,0.968395,-0.693789,-0.373263,-1.589935,0.030215,0.008864,0.012795,-0.995735,0.836158,0.299147,1.697956,-0.094290,-0.171813,0.116894
0.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.307775,0.685195,0.399011,0.056324,-0.052885,0.951982,-0.693427,-0.358351,-1.603804,0.044976,0.011176,0.019533,-0.987771,0.906746,0.245240,1.748650,-0.144179,-0.257641,0.172091
0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.331570,0.695931,0.397951,0.081830,-0.067078,0.935118,-0.694769,-0.342414,-1.619779,0.059450,0.012130,0.026744,-0.975615,0.979867,0.189135,1.789091,-0.195907,-0.342966,0.225683
0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.357240,0.706118,0.396359,0.110321,-0.079881,0.917882,-0.697745,-0.325538,-1.637379,0.073494,0.011682,0.034547,-0.958941,1.055976,0.131444,1.817942,-0.248973,-0.427195,0.277930
0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.384461,0.715651,0.394158,0.141463,-0.091289,0.900464,-0.702298,-0.307923,-1.656107,0.086852,0.009732,0.042957,-0.937438,1.135286,0.073380,1.833880,-0.302458,-0.509550,0.328993
0.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.412880,0.724326,0.391345,0.174919,-0.101113,0.883144,-0.708384,-0.289897,-1.675591,0.099137,0.006137,0.051873,-0.910907,1.217682,0.016776,1.835931,-0.355156,-0.589143,0.378980
0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.442177,0.731817,0.388026,0.210475,-0.109033,0.866216,-0.715950,-0.271897,-1.695737,0.109848,0.000740,0.061105,-0.879323,1.302684,-0.036127,1.823785,-0.405876,-0.665121,0.428025
0.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.472413,0.739123,0.385175,0.247697,-0.116042,0.850080,-0.724297,-0.254279,-1.716399,0.119210,-0.006562,0.070418,-0.843612,1.391255,-0.082364,1.795685,-0.453843,-0.734157,0.476731
0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.507863,0.777656,0.399468,0.274317,-0.151028,0.839328,-0.719662,-0.234681,-1.725904,0.144722,-0.014439,0.078748,-0.821748,1.521675,-0.099738,1.700699,-0.500125,-0.733285,0.531066
0.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.552911,0.847345,0.443419,0.317716,-0.162022,0.823248,-0.750042,-0.192681,-1.696181,0.179959,-0.064574,0.067466,-0.782507,1.605368,-0.132480,1.585262,-0.485150,-0.733645,0.643912
