time,chassis_x,chassis_y,chassis_yaw,head_joint1,head_joint2,leg_joint1,leg_joint2,leg_joint3,leg_joint4,leg_joint5,left_arm_joint1,left_arm_joint2,left_arm_joint3,left_arm_joint4,left_arm_joint5,left_arm_joint6,left_arm_joint7,right_arm_joint1,right_arm_joint2,right_arm_joint3,right_arm_joint4,right_arm_joint5,right_arm_joint6,right_arm_joint7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.700000,1.650000,0.350000,1.200000,-0.050000,0.550000,0.000000
0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.691643,1.607063,0.286357,1.200844,-0.013206,0.549410,0.053991
0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.692988,1.607063,0.283173,1.202821,-0.015011,0.551165,0.063513
0.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.694922,1.607063,0.278490,1.205684,-0.017744,0.553724,0.077555
0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.697297,1.607063,0.272448,1.209245,-0.021468,0.556962,0.095754
0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.700085,1.607063,0.265145,1.213461,-0.026103,0.560828,0.117811
0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.703176,1.607063,0.256640,1.218203,-0.031752,0.565236,0.143604
0.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.706484,1.607063,0.246980,1.223375,-0.038486,0.570107,0.173037
0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.709923,1.607063,0.236200,1.228882,-0.046388,0.575359,0.206047
0.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.713405,1.607063,0.224326,1.234635,-0.055547,0.580899,0.242598
0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.716842,1.607063,0.211380,1.240544,-0.066052,0.586622,0.282670
0.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.720139,1.607063,0.197376,1.246522,-0.077988,0.592411,0.326254
0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.723205,1.607063,0.182327,1.252486,-0.091437,0.598130,0.373348
0.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.725943,1.607063,0.166240,1.258353,-0.106464,0.603627,0.423951
0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.728253,1.607063,0.149120,1.264047,-0.123119,0.608731,0.478055
0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.730038,1.607063,0.130971,1.269493,-0.141427,0.613253,0.535643
0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.731195,1.607063,0.111792,1.274622,-0.161379,0.616985,0.596681
0.850000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.731623,1.607063,0.091584,1.279371,-0.182931,0.619701,0.661111
