time,chassis_x,chassis_y,chassis_yaw,head_joint1,head_joint2,leg_joint1,leg_joint2,leg_joint3,leg_joint4,leg_joint5,left_arm_joint1,left_arm_joint2,left_arm_joint3,left_arm_joint4,left_arm_joint5,left_arm_joint6,left_arm_joint7,right_arm_joint1,right_arm_joint2,right_arm_joint3,right_arm_joint4,right_arm_joint5,right_arm_joint6,right_arm_joint7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.700000,1.650000,0.350000,1.200000,-0.050000,0.550000,0.000000
0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.316385,-1.058504,0.753935,-1.721636,0.025641,-0.799635,0.000741,-0.691461,1.606308,0.285256,1.200844,-0.012543,0.549400,0.054875
0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.315701,-1.062726,0.755504,-1.731460,0.037680,-0.799413,0.001740,-0.692500,1.605065,0.280251,1.202821,-0.013258,0.551139,0.065858
0.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.315681,-1.070044,0.761077,-1.750634,0.059940,-0.798589,0.004871,-0.693745,1.602519,0.271856,1.205657,-0.013845,0.553639,0.082937
0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.315572,-1.077303,0.765971,-1.767906,0.080784,-0.797976,0.007221,-0.695508,1.600231,0.262497,1.209245,-0.015596,0.556834,0.103840
0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.315089,-1.084653,0.769787,-1.783527,0.100685,-0.797603,0.008713,-0.697664,1.598139,0.252175,1.213461,-0.018521,0.560627,0.128423
0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.314547,-1.095149,0.770445,-1.800849,0.116734,-0.797467,0.012684,-0.700126,1.596246,0.240957,1.218203,-0.022682,0.564938,0.156537
0.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.312889,-1.107066,0.767751,-1.817289,0.131325,-0.797628,0.020098,-0.702799,1.594519,0.228838,1.223375,-0.028120,0.569683,0.188124
0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.310231,-1.118267,0.764192,-1.831729,0.146356,-0.798060,0.026687,-0.705600,1.592968,0.215867,1.228882,-0.034922,0.574776,0.223112
0.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.306574,-1.128162,0.760154,-1.843592,0.162715,-0.798777,0.031781,-0.708427,1.591547,0.201993,1.234635,-0.043129,0.580117,0.261520
0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.301767,-1.137507,0.754742,-1.853444,0.180037,-0.799686,0.036095,-0.711210,1.590311,0.187315,1.240544,-0.052867,0.585601,0.303257
0.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.296459,-1.146545,0.748819,-1.862482,0.197564,-0.800496,0.040414,-0.713911,1.589394,0.172034,1.246522,-0.064313,0.591116,0.348144
0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.290374,-1.155362,0.741957,-1.870207,0.215767,-0.801773,0.042253,-0.716463,1.588841,0.156219,1.252486,-0.077560,0.596535,0.396112
0.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.283497,-1.164517,0.732970,-1.876038,0.235037,-0.804120,0.038692,-0.718733,1.588512,0.139672,1.258353,-0.092548,0.601704,0.447322
0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.272097,-1.168438,0.720908,-1.872740,0.261405,-0.809753,0.040141,-0.720661,1.588479,0.122494,1.264047,-0.109360,0.606467,0.501666
0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.270023,-1.175254,0.721484,-1.882944,0.278707,-0.809753,0.040141,-0.722164,1.588736,0.104679,1.269493,-0.128001,0.610648,0.559120
0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.267908,-1.182084,0.721693,-1.893062,0.295842,-0.809753,0.040141,-0.723156,1.589283,0.086225,1.274622,-0.148446,0.614058,0.619638
0.850000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.265762,-1.188928,0.721552,-1.903099,0.312817,-0.809753,0.040141,-0.723597,1.590201,0.067254,1.279370,-0.170699,0.616507,0.683040
0.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.263597,-1.195787,0.721079,-1.913059,0.329640,-0.809753,0.040141,-0.723428,1.591522,0.047814,1.283681,-0.194689,0.617796,0.749185
0.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.261421,-1.202664,0.720289,-1.922944,0.346317,-0.809753,0.040141,-0.722601,1.593285,0.027972,1.287503,-0.220308,0.617723,0.817885
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.259245,-1.209558,0.719195,-1.932760,0.362854,-0.809753,0.040141,-0.721067,1.595511,0.007777,1.290794,-0.247395,0.616085,0.888940
1.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.257084,-1.216433,0.717941,-1.942469,0.379246,-0.809753,0.040141,-0.718796,1.598244,-0.012690,1.293519,-0.275761,0.612690,0.962083
1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.254955,-1.223232,0.716738,-1.952017,0.395489,-0.809753,0.040141,-0.715752,1.601497,-0.033374,1.295654,-0.305159,0.607354,1.037049
1.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.256349,-1.231240,0.718021,-1.962868,0.410837,-0.809237,0.038677,-0.711940,1.605329,-0.054149,1.297184,-0.335347,0.599924,1.113481
1.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.260739,-1.240114,0.721532,-1.974974,0.425246,-0.808307,0.036048,-0.704645,1.605821,-0.080990,1.298106,-0.362672,0.588609,1.196267
1.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.264502,-1.248517,0.724762,-1.986858,0.439496,-0.807504,0.033788,-0.695615,1.605999,-0.109388,1.298427,-0.389005,0.574216,1.281040
1.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.267688,-1.256511,0.727731,-1.998520,0.453629,-0.806821,0.031860,-0.684980,1.606193,-0.138845,1.298170,-0.414110,0.556707,1.366999
