time,chassis_x,chassis_y,chassis_yaw,head_joint1,head_joint2,leg_joint1,leg_joint2,leg_joint3,leg_joint4,leg_joint5,left_arm_joint1,left_arm_joint2,left_arm_joint3,left_arm_joint4,left_arm_joint5,left_arm_joint6,left_arm_joint7,right_arm_joint1,right_arm_joint2,right_arm_joint3,right_arm_joint4,right_arm_joint5,right_arm_joint6,right_arm_joint7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.700000,1.650000,0.350000,1.200000,-0.050000,0.550000,0.000000
0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.691635,1.607063,0.286323,1.200835,-0.013211,0.549411,0.054028
0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.692960,1.607063,0.283058,1.202791,-0.015028,0.551168,0.063638
0.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.694865,1.607063,0.278255,1.205621,-0.017780,0.553728,0.077809
0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.697200,1.607063,0.272060,1.209138,-0.021530,0.556967,0.096176
0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.699938,1.607063,0.264570,1.213300,-0.026199,0.560834,0.118437
0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.702968,1.607063,0.255848,1.217975,-0.031888,0.565240,0.144470
0.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.706202,1.607063,0.245941,1.223068,-0.038672,0.570106,0.174178
0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.709552,1.607063,0.234884,1.228482,-0.046633,0.575347,0.207498
0.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.712931,1.607063,0.222704,1.234127,-0.055859,0.580870,0.244394
0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.716246,1.607063,0.209422,1.239912,-0.066441,0.586568,0.284846
0.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.719403,1.607063,0.195053,1.245748,-0.078462,0.592320,0.328847
0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.722307,1.607063,0.179607,1.251550,-0.092003,0.597989,0.376393
0.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.724858,1.607063,0.163091,1.257235,-0.107126,0.603419,0.427485
0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318523,-1.048594,0.752586,-1.699951,0.000000,-0.799884,0.000000,-0.726955,1.607063,0.145510,1.262723,-0.123879,0.608436,0.482114
0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.318112,-1.047751,0.753031,-1.700016,-0.000335,-0.799643,0.000919,-0.728271,1.606524,0.126094,1.267938,-0.141888,0.612767,0.540952
0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.325435,-1.067401,0.740547,-1.697804,0.009451,-0.805501,-0.020709,-0.729313,1.606916,0.106939,1.272811,-0.162213,0.616415,0.602089
0.850000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.334241,-1.081996,0.734063,-1.698044,0.011464,-0.809422,-0.036963,-0.728698,1.605365,0.083923,1.277274,-0.182711,0.618652,0.669163
0.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.442319,-1.170210,0.760393,-1.616467,0.173997,-0.787078,0.082527,-0.728731,1.607063,0.064501,1.281269,-0.207044,0.620235,0.735359
0.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.209057,-1.382179,1.168053,-1.956645,0.292506,-0.667105,0.163038,-0.726987,1.607063,0.041553,1.284744,-0.231472,0.619934,0.806964
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.211282,-1.287808,1.080093,-1.846480,0.194539,-0.821665,0.134855,-0.720280,1.600128,0.007294,1.287652,-0.251805,0.615864,0.890772
1.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.224403,-1.301875,1.077185,-1.865113,0.176700,-0.821665,0.015340,-0.718310,1.603997,-0.012202,1.289959,-0.281018,0.612646,0.963141
1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.227085,-1.317452,1.066077,-1.883928,0.168844,-0.809614,-0.091305,-0.713593,1.605186,-0.036751,1.291637,-0.308729,0.606407,1.041614
1.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.220708,-1.329284,1.055125,-1.895696,0.176082,-0.790700,-0.190070,-0.707345,1.606079,-0.062850,1.292669,-0.336326,0.597538,1.122741
1.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.209360,-1.343519,1.034198,-1.903375,0.190173,-0.774061,-0.250698,-0.699703,1.607063,-0.089925,1.293052,-0.363674,0.585946,1.205685
1.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.194379,-1.354001,1.011672,-1.902726,0.211117,-0.779996,-0.265558,-0.689777,1.607063,-0.119694,1.292791,-0.389310,0.570942,1.291536
1.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,0.195407,-1.353859,1.012492,-1.902973,0.209810,-0.780024,-0.265558,-0.678114,1.607063,-0.150675,1.291906,-0.413511,0.552738,1.378627
