time,leg_joint1,leg_joint2,leg_joint3,leg_joint4,leg_joint5,head_joint1,head_joint2,left_arm_joint1,left_arm_joint2,left_arm_joint3,left_arm_joint4,left_arm_joint5,left_arm_joint6,left_arm_joint7,right_arm_joint1,right_arm_joint2,right_arm_joint3,right_arm_joint4,right_arm_joint5,right_arm_joint6,right_arm_joint7,chassis_x,chassis_y,chassis_yaw
0,0.0402187,0.766986,0.244364,0.0732679,0.1645,0.245996,0.0733326,1.1357,-1.01641,-0.0535208,-1.34716,-0.139801,-0.080893,-0.1599,-1.73504,0.0624195,0.342093,1.16656,0.204818,0.217655,0.0459423,0.201149,0.191763,0.22073
1,0.0859717,0.855094,0.308213,0.105115,0.1645,0.206604,0.0495484,1.0436,-1.11946,-0.15502,-1.4348,-0.202958,-0.104087,-0.155011,-1.69484,0.133055,0.4346,1.26972,0.306125,0.282845,0.108402,0.225553,0.188304,0.302077
2,0.123814,0.913145,0.333173,0.0939588,0.1645,0.131488,0.0171968,0.939852,-1.21917,-0.238605,-1.49213,-0.227069,-0.0950946,-0.108308,-1.61912,0.228607,0.538399,1.36918,0.389187,0.325169,0.131663,0.245738,0.178528,0.369359
3,0.147201,0.931101,0.31493,0.0417288,0.1645,0.0336366,-0.0181283,0.8424,-1.2983,-0.289824,-1.50922,-0.207967,-0.0554695,-0.0278677,-1.52098,0.332552,0.635544,1.44775,0.439644,0.337308,0.111702,0.258212,0.164123,0.410941
4,0.15209,0.905858,0.256638,-0.0425442,0.1645,-0.070031,-0.0503188,0.768095,-1.34318,-0.299821,-1.48313,-0.148953,0.00793615,0.0724017,-1.41738,0.426919,0.709236,1.49183,0.448771,0.317164,0.0519703,0.26082,0.147581,0.419634
5,0.137636,0.84178,0.168376,-0.144288,0.149858,-0.16159,-0.0738087,0.729783,-1.34603,-0.266867,-1.41837,-0.0602317,0.0841591,0.175163,-1.32624,0.49539,0.746733,1.49381,0.414989,0.26822,-0.0372029,0.25311,0.131763,0.393935
6,0.106337,0.749946,0.0654049,-0.245912,0.135969,-0.225208,-0.0845364,0.734091,-1.30636,-0.19666,-1.32613,0.0428557,0.16002,0.262647,-1.26332,0.526125,0.741553,1.45334,0.34414,0.198937,-0.1404,0.236416,0.119402,0.338287
7,0.0636063,0.646237,0,-0.329842,0.12684,-0.249886,-0.0806471,0.780272,-1.23105,-0.101339,-1.22236,0.142485,0.222401,0.319727,-1.23949,0.513811,0.69459,1.37742,0.248474,0.121297,-0.239776,0.213624,0.112637,0.262312
8,0.0168311,0.548584,0,-0.381568,0.124049,-0.231356,-0.062813,0.860342,-1.1331,0.00261296,-1.12501,0.221429,0.260516,0.336534,-1.25888,0.460577,0.613966,1.27918,0.144533,0.0487238,-0.318148,0.188674,0.112637,0.179148
9,0,0.473872,0,-0.392144,0.128081,-0.172823,-0.0341181,0.960456,-1.02945,0.0972225,-1.05091,0.266037,0.267776,0.310162,-1.31813,0.375627,0.51362,1.17561,0.0502886,-0.00623418,-0.361966,0.165882,0.119402,0.103173
10,0,0.435019,0,-0.359743,0.138236,-0.0844068,0.000476154,1.0633,-0.938032,0.166131,-1.01287,0.268598,0.242924,0.24517,-1.407,0.27365,0.410903,1.08461,-0.0179627,-0.0340742,-0.363652,0.149187,0.131763,0.0475249
11,0,0.438744,0,-0.289967,0.15276,0.0186038,0.0349881,1.1511,-0.874645,0.197422,-1.01747,0.228667,0.190258,0.152797,-1.51013,0.172279,0.323577,1.02192,-0.0484199,-0.0299824,-0.322916,0.141478,0.147581,0.0218256
12,0,0.484403,0,-0.19488,0.1645,0.118398,0.0634503,1.20867,-0.85025,0.185687,-1.06391,0.153149,0.118884,0.0490141,-1.60967,0.0890412,0.26674,0.998371,-0.0358168,0.00533378,-0.2468,0.144085,0.164123,0.0305187
13,0,0.5641,0.0489792,-0.0909249,0.1645,0.197719,0.0809413,1.22605,-0.869066,0.132954,-1.14416,0.0551024,0.0411429,-0.0482336,-1.68843,0.0383299,0.250221,1.01805,0.0176675,0.0657679,-0.148467,0.15656,0.178528,0.0721011
14,0,0.664055,0.152668,0.00392473,0.1645,0.242854,0.0844369,1.20024,-0.92784,0.0483415,-1.24436,-0.0485201,-0.0295221,-0.122131,-1.73277,0.0289133,0.276874,1.07754,0.102785,0.14087,-0.0449174,0.176745,0.188304,0.139383
15,0.0402187,0.766986,0.244364,0.0732679,0.1645,0.245996,0.0733325,1.1357,-1.01641,-0.0535209,-1.34716,-0.139801,-0.080893,-0.1599,-1.73504,0.0624196,0.342093,1.16656,0.204818,0.217655,0.0459424,0.201149,0.191763,0.22073
