time,chassis_x,chassis_y,chassis_yaw,head_joint1,head_joint2,leg_joint1,leg_joint2,leg_joint3,leg_joint4,leg_joint5,left_arm_joint1,left_arm_joint2,left_arm_joint3,left_arm_joint4,left_arm_joint5,left_arm_joint6,left_arm_joint7,right_arm_joint1,right_arm_joint2,right_arm_joint3,right_arm_joint4,right_arm_joint5,right_arm_joint6,right_arm_joint7
0.000000,0.000000,0.000000,0.000000,0.000000,-0.000024,0.299797,1.199957,0.849885,-0.165108,0.000000,0.464910,-1.600683,0.426903,-0.829098,1.081907,-0.168118,-0.262981,-0.609350,-2.000000,1.600080,0.600051,1.700010,0.000000,0.799993
0.200000,0.000538,0.008838,-0.002293,0.000000,-0.000024,0.276439,1.179193,0.857995,-0.208680,-0.163500,0.467161,-1.457142,0.426920,-0.954856,1.112038,-0.130897,-0.130807,-0.594111,-1.606744,1.696181,0.979755,1.553458,-0.017908,0.971306
0.300000,0.001353,0.009545,0.001641,0.000000,-0.000024,0.275569,1.176341,0.858114,-0.202164,-0.150050,0.468340,-1.454371,0.425253,-0.963204,1.106255,-0.142194,-0.134915,-0.594845,-1.606905,1.692060,0.990079,1.547458,-0.013539,0.967075
0.400000,0.002282,0.010205,0.005576,0.000000,-0.000024,0.274714,1.173600,0.858174,-0.195786,-0.136785,0.469553,-1.451371,0.423556,-0.971269,1.100473,-0.153591,-0.139258,-0.595431,-1.606906,1.687962,1.000066,1.541512,-0.009196,0.962535
0.500000,0.003331,0.010841,0.009509,0.000000,-0.000024,0.273866,1.170955,0.858174,-0.189564,-0.123754,0.470791,-1.448153,0.421843,-0.979054,1.094723,-0.165051,-0.143800,-0.595873,-1.606590,1.683893,1.009790,1.535597,-0.004858,0.957684
0.600000,0.004501,0.011457,0.013442,0.000000,-0.000024,0.273021,1.168398,0.858114,-0.183501,-0.110961,0.472053,-1.444722,0.420119,-0.986557,1.089015,-0.176570,-0.148536,-0.596170,-1.605946,1.679857,1.019259,1.529713,-0.000520,0.952523
0.700000,0.005790,0.012053,0.017373,0.000000,-0.000024,0.272178,1.165926,0.857996,-0.177600,-0.098404,0.473339,-1.441081,0.418389,-0.993775,1.083355,-0.188146,-0.153467,-0.596323,-1.604978,1.675858,1.028470,1.523866,0.003821,0.947054
0.800000,0.007198,0.012631,0.021304,0.000000,-0.000024,0.271335,1.163533,0.857821,-0.171862,-0.086085,0.474651,-1.437237,0.416655,-1.000707,1.077753,-0.199777,-0.158593,-0.596335,-1.603690,1.671899,1.037421,1.518059,0.008169,0.941275
0.900000,0.008724,0.013193,0.025235,0.000000,-0.000024,0.270493,1.161216,0.857590,-0.166288,-0.074003,0.475989,-1.433193,0.414922,-1.007350,1.072215,-0.211461,-0.163913,-0.596207,-1.602084,1.667980,1.046108,1.512297,0.012528,0.935188
1.000000,0.010365,0.013740,0.029164,0.000000,-0.000024,0.269651,1.158971,0.857305,-0.160882,-0.062159,0.477351,-1.428953,0.413194,-1.013703,1.066751,-0.223197,-0.169426,-0.595941,-1.600162,1.664106,1.054529,1.506584,0.016902,0.928792
1.100000,0.012121,0.014273,0.033092,0.000000,-0.000024,0.268807,1.156792,0.856968,-0.155645,-0.050553,0.478739,-1.424522,0.411473,-1.019764,1.061367,-0.234982,-0.175133,-0.595539,-1.597928,1.660277,1.062680,1.500924,0.021294,0.922089
1.200000,0.013990,0.014794,0.037020,0.000000,-0.000024,0.267961,1.154677,0.856580,-0.150578,-0.039186,0.480150,-1.419903,0.409763,-1.025532,1.056074,-0.246814,-0.181031,-0.595003,-1.595384,1.656497,1.070559,1.495320,0.025708,0.915078
1.300000,0.015970,0.015305,0.040946,0.000000,-0.000024,0.267113,1.152622,0.856143,-0.145684,-0.028058,0.481585,-1.415101,0.408068,-1.031005,1.050877,-0.258692,-0.187122,-0.594338,-1.592533,1.652765,1.078163,1.489777,0.030149,0.907761
1.400000,0.018059,0.015807,0.044872,0.000000,-0.000024,0.266261,1.150621,0.855658,-0.140965,-0.017172,0.483042,-1.410120,0.406390,-1.036182,1.045787,-0.270612,-0.193403,-0.593545,-1.589376,1.649083,1.085488,1.484298,0.034620,0.900137
1.500000,0.020255,0.016302,0.048797,0.000000,-0.000024,0.265406,1.148673,0.855128,-0.136422,-0.006529,0.484520,-1.404963,0.404731,-1.041064,1.040810,-0.282572,-0.199875,-0.592628,-1.585915,1.645453,1.092531,1.478887,0.039124,0.892209
