time,chassis_x,chassis_y,chassis_yaw,head_joint1,head_joint2,leg_joint1,leg_joint2,leg_joint3,leg_joint4,leg_joint5,left_arm_joint1,left_arm_joint2,left_arm_joint3,left_arm_joint4,left_arm_joint5,left_arm_joint6,left_arm_joint7,right_arm_joint1,right_arm_joint2,right_arm_joint3,right_arm_joint4,right_arm_joint5,right_arm_joint6,right_arm_joint7
0.000000,0.000000,0.000000,0.000000,0.000000,-0.000024,0.299797,1.199957,0.849885,-0.165108,0.000000,0.464910,-1.600683,0.426903,-0.829098,1.081907,-0.168118,-0.262981,-2.000000,1.600080,0.600051,1.700010,0.000000,0.799993,0.000000
0.050000,0.016160,-0.002171,-0.003686,0.000000,-0.000024,0.330922,1.190648,0.843309,-0.165539,0.002897,0.434030,-1.591603,0.418981,-0.831401,1.085673,-0.173720,-0.263151,-2.000000,1.600080,0.600051,1.700010,0.000000,0.799993,0.000000
0.100000,0.032339,-0.003830,-0.007648,0.000000,-0.000024,0.362602,1.182792,0.836605,-0.166019,0.006036,0.402766,-1.582858,0.410449,-0.833658,1.088492,-0.179542,-0.262117,-2.000000,1.600080,0.600051,1.700010,0.000000,0.799993,0.000000
0.150000,0.048537,-0.004980,-0.011907,0.000000,-0.000024,0.394798,1.176335,0.829785,-0.166543,0.009398,0.371147,-1.574367,0.401321,-0.835815,1.090384,-0.185605,-0.259959,-2.000000,1.600080,0.600051,1.700010,0.000000,0.799993,0.000000
0.200000,0.064753,-0.005615,-0.016486,0.000000,-0.000024,0.427474,1.171228,0.822860,-0.167109,0.012969,0.339197,-1.566057,0.391608,-0.837820,1.091372,-0.191922,-0.256752,-2.000000,1.600080,0.600051,1.700010,0.000000,0.799993,0.000000
0.250000,0.080988,-0.005720,-0.021407,0.000000,-0.000024,0.460598,1.167422,0.815841,-0.167714,0.016734,0.306940,-1.557861,0.381326,-0.839622,1.091481,-0.198493,-0.252566,-2.000000,1.600080,0.600051,1.700010,0.000000,0.799993,0.000000
0.300000,0.097246,-0.005276,-0.026695,0.000000,-0.000024,0.494145,1.164874,0.808742,-0.168360,0.020680,0.274396,-1.549714,0.370488,-0.841172,1.090738,-0.205311,-0.247464,-2.000000,1.600080,0.600051,1.700010,0.000000,0.799993,0.000000
0.350000,0.113532,-0.004254,-0.032373,0.000000,-0.000024,0.528092,1.163541,0.801576,-0.169050,0.024797,0.241582,-1.541558,0.359109,-0.842425,1.089168,-0.212360,-0.241505,-2.000000,1.600080,0.600051,1.700010,0.000000,0.799993,0.000000
0.400000,0.129853,-0.002620,-0.038468,0.000000,-0.000024,0.562418,1.163386,0.794358,-0.169787,0.029079,0.208514,-1.533339,0.347207,-0.843334,1.086802,-0.219618,-0.234741,-2.000000,1.600080,0.600051,1.700010,0.000000,0.799993,0.000000
0.450000,0.146219,-0.000331,-0.045006,0.000000,-0.000024,0.597108,1.164376,0.787101,-0.170576,0.033518,0.175205,-1.525006,0.334796,-0.843857,1.083669,-0.227058,-0.227220,-2.000000,1.600080,0.600051,1.700010,0.000000,0.799993,0.000000
0.500000,0.162641,0.002662,-0.052014,0.000000,-0.000024,0.632147,1.166478,0.779820,-0.171424,0.038114,0.141668,-1.516511,0.321895,-0.843952,1.079799,-0.234648,-0.218984,-2.000000,1.600080,0.600051,1.700010,0.000000,0.799993,0.000000
0.550000,0.179135,0.006414,-0.059520,0.000000,-0.000024,0.667525,1.169666,0.772531,-0.172337,0.042866,0.107912,-1.507809,0.308522,-0.843577,1.075225,-0.242351,-0.210071,-2.000000,1.600080,0.600051,1.700010,0.000000,0.799993,0.000000
0.600000,0.195719,0.010987,-0.067554,0.000000,-0.000024,0.703232,1.173915,0.765249,-0.173323,0.047778,0.073945,-1.498858,0.294695,-0.842693,1.069978,-0.250130,-0.200514,-2.000000,1.600080,0.600051,1.700010,0.000000,0.799993,0.000000
0.650000,0.212415,0.016452,-0.076145,0.000000,-0.000024,0.739261,1.179203,0.757990,-0.174391,0.052855,0.039776,-1.489617,0.280433,-0.841264,1.064095,-0.257941,-0.190344,-2.000000,1.600080,0.600051,1.700010,0.000000,0.799993,0.000000
0.700000,0.229250,0.022884,-0.085324,0.000000,-0.000024,0.775605,1.185512,0.750771,-0.175548,0.058107,0.005409,-1.480050,0.265758,-0.839250,1.057610,-0.265739,-0.179587,-2.000000,1.600080,0.600051,1.700010,0.000000,0.799993,0.000000
0.750000,0.246256,0.030366,-0.095121,0.000000,-0.000024,0.812259,1.192826,0.743608,-0.176804,0.063545,-0.029152,-1.470118,0.250692,-0.836618,1.050562,-0.273476,-0.168268,-2.000000,1.600080,0.600051,1.700010,0.000000,0.799993,0.000000
0.800000,0.263469,0.038985,-0.105568,0.000000,-0.000024,0.849219,1.201130,0.736519,-0.178167,0.069184,-0.063903,-1.459787,0.235258,-0.833333,1.042992,-0.281102,-0.156406,-2.000000,1.600080,0.600051,1.700010,0.000000,0.799993,0.000000
0.850000,0.280933,0.048836,-0.116696,0.000000,-0.000024,0.886482,1.210412,0.729522,-0.179646,0.075041,-0.098842,-1.449023,0.219481,-0.829363,1.034943,-0.288565,-0.144023,-2.000000,1.600080,0.600051,1.700010,0.000000,0.799993,0.000000
0.900000,0.298698,0.060017,-0.128536,0.000000,-0.000024,0.924045,1.220663,0.722637,-0.181249,0.081136,-0.133968,-1.437795,0.203389,-0.824678,1.026462,-0.295810,-0.131134,-2.000000,1.600080,0.600051,1.700010,0.000000,0.799993,0.000000
0.950000,0.316979,0.072743,-0.144393,0.000000,-0.000024,0.936400,1.207519,0.729341,-0.189328,0.090765,-0.191616,-1.414936,0.177415,-0.811310,1.013127,-0.311845,-0.112524,-2.000000,1.600080,0.600051,1.700010,0.000000,0.799993,0.000000
