time,leg_joint1,leg_joint2,leg_joint3,leg_joint4,leg_joint5,head_joint1,head_joint2,left_arm_joint1,left_arm_joint2,left_arm_joint3,left_arm_joint4,left_arm_joint5,left_arm_joint6,left_arm_joint7,right_arm_joint1,right_arm_joint2,right_arm_joint3,right_arm_joint4,right_arm_joint5,right_arm_joint6,right_arm_joint7,chassis_x,chassis_y,chassis_yaw
0,0.25,0.65,0.4,0,0,0,0,1,-0.7,-0.4,-1.57,0,0,0,-1,0.7,0.4,1.57,0,0,0,0,0,0
0.1,0.24856,0.65704,0.385179,0.00842,-0.000125,-0.013766,0.023302,1.00953,-0.651431,-0.434128,-1.4471,-0.049029,-0.128768,0.059678,-1.04877,0.70442,0.405125,1.37988,-0.005403,0.195402,0.024248,0.015692,-0.000663,0.005347
0.15,0.23305,0.664323,0.401213,0.010563,-0.000121,-0.014584,0.030061,1.02082,-0.650063,-0.435772,-1.45097,-0.050017,-0.12847,0.058317,-1.06236,0.707123,0.404224,1.3844,-0.008536,0.194301,0.031457,0.027464,-0.000462,0.004023
0.2,0.211947,0.672562,0.421764,0.012265,-0.00013,-0.015598,0.038852,1.03565,-0.64829,-0.437975,-1.45611,-0.05127,-0.128011,0.056447,-1.07992,0.709252,0.404098,1.39005,-0.011207,0.193245,0.039385,0.043101,-0.000342,0.003336
0.25,0.191612,0.681587,0.442381,0.013761,-0.000139,-0.016679,0.047595,1.05028,-0.646663,-0.44002,-1.46135,-0.052355,-0.127393,0.054536,-1.09737,0.711448,0.40392,1.39555,-0.013941,0.192233,0.047335,0.058657,-0.000264,0.002921
0.3,0.17207,0.691363,0.46302,0.015141,-0.000151,-0.017819,0.056276,1.0647,-0.645176,-0.441911,-1.46669,-0.053276,-0.126613,0.052582,-1.11465,0.713718,0.403677,1.4009,-0.016741,0.191257,0.055292,0.074118,-0.000209,0.002682
0.35,0.153354,0.701851,0.483624,0.016462,-0.000166,-0.01901,0.064876,1.07888,-0.643828,-0.443648,-1.47212,-0.054035,-0.125671,0.050589,-1.13172,0.716067,0.403359,1.40609,-0.019609,0.190309,0.063243,0.08946,-0.000168,0.002553
0.4,0.135494,0.713007,0.504138,0.017761,-0.000183,-0.020247,0.073378,1.09281,-0.642616,-0.445229,-1.47764,-0.054632,-0.124566,0.048557,-1.14854,0.718498,0.402956,1.41111,-0.022546,0.18938,0.071174,0.104656,-0.000134,0.002493
0.45,0.118511,0.724783,0.524509,0.019058,-0.000202,-0.021524,0.081767,1.10646,-0.641537,-0.446652,-1.48323,-0.055069,-0.123297,0.046491,-1.16507,0.721013,0.40246,1.41597,-0.025549,0.18846,0.079071,0.119686,-0.000104,0.002474
0.5,0.102418,0.737127,0.544686,0.020367,-0.000223,-0.022835,0.090028,1.11981,-0.64059,-0.447918,-1.4889,-0.055348,-0.121864,0.044392,-1.18128,0.723613,0.401867,1.42067,-0.028617,0.187542,0.086923,0.134524,-7.5e-05,0.002479
0.55,0.087224,0.749985,0.56462,0.021693,-0.000245,-0.024176,0.098147,1.13284,-0.639772,-0.449024,-1.49464,-0.055472,-0.120266,0.042264,-1.19713,0.726296,0.401171,1.42522,-0.031747,0.186616,0.094717,0.149148,-4.7e-05,0.002495
0.6,0.072933,0.7633,0.584263,0.02304,-0.000266,-0.025541,0.106111,1.14553,-0.639082,-0.44997,-1.50043,-0.055443,-0.118505,0.040108,-1.21261,0.72906,0.40037,1.4296,-0.034935,0.185671,0.102441,0.163535,-1.8e-05,0.002515
0.65,0.059539,0.777011,0.60357,0.024407,-0.000288,-0.026925,0.11391,1.15788,-0.638516,-0.450756,-1.50628,-0.055265,-0.116579,0.037927,-1.22768,0.731904,0.399463,1.43384,-0.038177,0.184699,0.110084,0.177664,1e-05,0.002534
0.7,0.047036,0.791058,0.622499,0.025793,-0.000309,-0.028323,0.121532,1.16986,-0.638074,-0.451383,-1.51217,-0.054941,-0.114491,0.035722,-1.24234,0.734822,0.398447,1.43794,-0.041467,0.18369,0.117634,0.191513,3.8e-05,0.002549
0.75,0.035408,0.805376,0.64101,0.027194,-0.000329,-0.02973,0.128968,1.18147,-0.637751,-0.451852,-1.51811,-0.054476,-0.11224,0.033496,-1.25654,0.737812,0.397324,1.4419,-0.044802,0.182634,0.125081,0.205059,6.6e-05,0.002558
0.8,0.024637,0.819901,0.659065,0.028606,-0.000347,-0.031141,0.136209,1.19269,-0.637546,-0.452164,-1.52409,-0.053873,-0.10983,0.031251,-1.27029,0.740867,0.396093,1.44573,-0.048176,0.181522,0.132414,0.218284,9.2e-05,0.002558
0.85,0.014702,0.834565,0.676629,0.030026,-0.000364,-0.032549,0.143246,1.20352,-0.637457,-0.452321,-1.53009,-0.053137,-0.107261,0.028987,-1.28357,0.743983,0.394758,1.44944,-0.051582,0.180344,0.139622,0.231165,0.000118,0.00255
0.9,0.005574,0.849303,0.693669,0.031447,-0.000379,-0.033951,0.150072,1.21395,-0.637481,-0.452326,-1.53612,-0.052274,-0.104536,0.026707,-1.29635,0.747154,0.393318,1.45305,-0.055016,0.17909,0.146695,0.243684,0.000143,0.002532
