time,chassis_x,chassis_y,chassis_yaw,head_joint1,head_joint2,leg_joint1,leg_joint2,leg_joint3,leg_joint4,leg_joint5,left_arm_joint1,left_arm_joint2,left_arm_joint3,left_arm_joint4,left_arm_joint5,left_arm_joint6,left_arm_joint7,right_arm_joint1,right_arm_joint2,right_arm_joint3,right_arm_joint4,right_arm_joint5,right_arm_joint6,right_arm_joint7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,1.000000,-0.700000,-0.400000,-1.570000,0.000000,0.000000,0.000000,-1.000000,0.700000,0.400000,1.570000,0.000000,0.000000,0.000000
0.100000,0.242327,0.000504,0.013388,-0.017076,0.196769,0.003424,0.741183,0.541018,0.003947,-0.002617,1.341487,-0.596594,-0.499014,-1.537395,-0.092079,-0.140362,0.001546,-1.375734,0.661174,0.459415,1.468128,0.029151,0.206392,0.085777
0.150000,0.233748,0.001548,0.043517,-0.005397,0.179355,0.001000,0.743662,0.563183,-0.037421,-0.007766,1.334784,-0.595037,-0.509373,-1.535151,-0.096741,-0.139938,-0.003131,-1.318687,0.674118,0.433987,1.455598,0.014781,0.201638,0.074826
0.200000,0.225136,0.002152,0.065282,0.101574,0.163237,0.001000,0.746243,0.580570,-0.165981,-0.010749,1.570618,-0.573023,-0.694045,-1.575277,-0.153852,-0.160696,-0.080902,-1.091117,0.745411,0.300836,1.393709,-0.058429,0.195265,-0.011066
0.250000,0.216624,0.002746,0.086124,0.739721,0.143380,0.001000,0.749337,0.592180,-0.824884,-0.018110,2.393585,-1.112491,-1.297786,-1.638802,-0.258407,-0.425531,-0.272348,-0.367819,1.363115,-0.173412,0.834662,-0.336980,0.388990,-0.267646
0.300000,0.200305,0.002205,0.084239,0.926331,0.114969,0.001000,0.749694,0.618763,-1.009942,-0.018146,2.601609,-1.151623,-1.210597,-1.591034,-0.374907,-0.583937,-0.491905,-3.001798,-1.607063,-1.686629,-0.503128,-2.291042,0.613508,0.145044
0.350000,0.199579,0.003661,0.129608,0.918744,0.107752,0.001000,0.756816,0.624870,-1.047440,-0.027812,2.599665,-1.142120,-1.221749,-1.596130,-0.377864,-0.576204,-0.489136,-3.001826,-1.607063,-1.686537,-0.503537,-2.290397,0.612244,0.155265
0.400000,0.191235,0.003908,0.150928,0.903948,0.091887,0.001000,0.761226,0.645095,-1.054081,-0.027927,2.593200,-1.124876,-1.247729,-1.604525,-0.383756,-0.560494,-0.479308,-3.002158,-1.607063,-1.670287,-0.495742,-2.295992,0.610780,0.163102
0.450000,0.182931,0.004042,0.172117,0.889482,0.076301,0.001001,0.766066,0.666537,-1.060955,-0.026751,2.575800,-1.117480,-1.280892,-1.612303,-0.383537,-0.539842,-0.455600,-3.002695,-1.607063,-1.652627,-0.487703,-2.303043,0.609168,0.170256
0.500000,0.174692,0.004059,0.193158,0.874064,0.061037,0.001004,0.771344,0.689205,-1.066748,-0.024244,2.549817,-1.114240,-1.317397,-1.619852,-0.378508,-0.515324,-0.423518,-2.999470,-1.607063,-1.649277,-0.482228,-2.297962,0.609396,0.181450
0.550000,0.167291,0.003944,0.209548,0.861211,0.047254,0.001000,0.777202,0.712012,-1.070441,-0.020477,2.638505,-1.012718,-1.275609,-1.626261,-0.433965,-0.546875,-0.539352,-2.999745,-1.607063,-1.633784,-0.475510,-2.304780,0.607739,0.188434
0.600000,0.171781,0.004861,0.218533,0.862109,0.050294,0.001000,0.785489,0.714982,-1.080263,-0.023134,2.836846,-0.824334,-1.164324,-1.628667,-0.519275,-0.656272,-0.800593,-3.000223,-1.607063,-1.649560,-0.484432,-2.298729,0.606065,0.199748
0.650000,0.151385,0.003146,0.251573,-0.409391,0.021778,0.001000,0.789982,0.768752,0.157873,-0.005487,2.995428,0.804820,-1.979312,-1.152906,-0.539918,-0.286967,-0.263943,-2.122575,0.236072,-2.465098,-1.542521,-2.642344,0.399208,0.807744
0.700000,0.143039,0.002867,0.267732,-0.896869,0.004392,0.001000,0.797080,0.792698,0.629143,-0.001442,2.983837,1.603645,-2.056152,-0.464762,-0.477676,-0.518201,0.050844,-2.603287,0.785507,-2.150966,-1.545480,-2.714617,0.590772,0.916568
0.750000,0.136721,0.002911,0.285944,-0.884930,-0.010915,0.001000,0.804666,0.812037,0.598998,0.003728,2.984802,1.603906,-2.099795,-0.459531,-0.448146,-0.514984,0.052822,-2.337688,1.078299,-1.911927,-1.550424,-2.899095,0.454830,0.517247
0.800000,0.127188,0.002700,0.306433,-0.867520,-0.032574,0.001000,0.812919,0.836798,0.561210,0.011607,2.973181,1.603906,-2.109778,-0.450911,-0.452806,-0.516832,0.043795,-2.299130,1.067995,-1.878489,-1.555991,-2.911682,0.428808,0.483991
0.850000,0.120777,0.002721,0.320945,-0.855462,-0.048657,0.001000,0.821390,0.857476,0.534801,0.017836,2.961979,1.604422,-2.106284,-0.445306,-0.465368,-0.518612,0.034294,-2.284298,1.045018,-1.869149,-1.559586,-2.910640,0.413752,0.482485
0.900000,0.113927,0.002719,0.335273,-0.841403,-0.065842,0.001000,0.830364,0.879536,0.506672,0.024761,2.950618,1.602204,-2.105583,-0.442237,-0.475847,-0.518994,0.024058,-2.267002,1.019184,-1.859684,-1.562763,-2.909725,0.397445,0.479836
0.950000,0.104351,0.002562,0.355081,-0.825613,-0.088930,0.001000,0.840780,0.907433,0.471577,0.034670,2.933027,1.606374,-2.096226,-0.427581,-0.498450,-0.525332,0.012590,-2.246478,0.987010,-1.845161,-1.564811,-2.906619,0.378937,0.475171
1.000000,0.097080,0.002590,0.368918,-0.811040,-0.107747,0.001000,0.851208,0.932307,0.443716,0.042952,2.919274,1.604869,-2.090924,-0.422514,-0.513833,-0.527016,0.001568,-2.224504,0.960118,-1.835186,-1.565989,-2.906929,0.361993,0.469546
1.050000,0.100633,-0.003771,0.335768,0.703163,-0.051724,0.032260,0.833275,0.878774,-1.038268,0.033564,-2.611397,-0.406061,-1.735049,-1.677143,-0.729828,-0.799566,-1.176839,-2.985457,-1.492928,-1.483093,-0.564914,-2.415877,0.537870,0.310835
1.100000,0.078700,0.001236,0.393178,-0.427171,-0.146941,0.001000,0.876664,1.009413,0.037754,0.056167,-3.003326,1.113462,-2.915972,-0.990451,0.029429,-0.225265,0.096039,-1.716281,0.474405,-2.328848,-1.499481,-2.860749,0.230762,0.501270
1.150000,0.072349,0.001265,0.414280,-0.394276,-0.163713,0.001000,0.889145,1.039213,-0.015033,0.065663,-3.003326,1.076332,-2.915972,-1.014503,0.009479,-0.212704,0.076061,-1.657788,0.245061,-2.580202,-1.480701,-2.688500,0.288909,0.683033
1.200000,0.064332,0.001155,0.426735,-0.353245,-0.184391,0.001000,0.904112,1.076391,-0.066890,0.076135,-3.003326,1.028709,-2.915972,-1.043184,-0.016060,-0.198593,0.051186,-2.284093,-0.187652,-2.308241,-1.454073,-2.385096,0.480195,0.982810
1.250000,0.056197,0.001120,0.439094,-0.310746,-0.205961,0.001000,0.920835,1.117232,-0.119726,0.087683,-3.003326,0.978298,-2.915972,-1.072068,-0.042984,-0.185039,0.025045,-2.262561,-0.351002,-2.407924,-1.422790,-2.283433,0.546090,1.043056
1.300000,0.054527,0.001667,0.451237,-0.298047,-0.213346,0.001000,0.930677,1.135632,-0.143633,0.093431,-3.003230,0.964291,-2.915972,-1.083101,-0.050093,-0.178439,0.015769,-2.294293,-0.359580,-2.351482,-1.413051,-2.286150,0.532129,1.029646
1.350000,0.055986,0.002467,0.466571,-0.299747,-0.213346,0.001000,0.936204,1.141472,-0.156950,0.096581,-3.002489,0.967946,-2.915972,-1.086257,-0.047493,-0.174632,0.014782,-2.276895,-0.397966,-2.411920,-1.415272,-2.256724,0.556837,1.062913
1.400000,0.057219,0.003202,0.481380,-0.292582,-0.213346,0.001000,0.941614,1.148109,-0.178574,0.099785,-2.996378,0.957569,-2.915972,-1.098993,-0.051335,-0.167227,0.008817,-1.079004,0.375223,-2.907556,-1.412748,-2.836351,0.194282,0.515094
1.450000,0.058406,0.003920,0.491755,-0.287434,-0.213346,0.001000,0.946651,1.154077,-0.193847,0.102063,-2.991472,0.950443,-2.915972,-1.109591,-0.053693,-0.160561,0.003884,-1.059965,0.388990,-2.915972,-1.411495,-2.849192,0.186856,0.507810
1.500000,0.059447,0.004630,0.505820,-0.282160,-0.213346,0.001000,0.951408,1.159993,-0.212852,0.105155,-2.986508,0.943202,-2.915972,-1.120240,-0.056131,-0.153842,-0.001183,-1.044771,0.406889,-2.915972,-1.410229,-2.866290,0.178389,0.496366
1.550000,0.060337,0.005288,0.519372,-0.274322,-0.213346,0.001000,0.955896,1.165979,-0.233900,0.108246,-2.979999,0.931939,-2.915972,-1.133526,-0.060497,-0.146154,-0.007842,-1.024701,0.429492,-2.915972,-1.407627,-2.887913,0.168952,0.480211
1.600000,0.061141,0.005867,0.528315,-0.264893,-0.213346,0.001000,0.960038,1.171648,-0.252014,0.110439,-2.972522,0.918184,-2.915972,-1.148375,-0.066114,-0.137918,-0.015594,-1.002320,0.454609,-2.915972,-1.404223,-2.911935,0.159398,0.461632
1.650000,0.061934,0.006516,0.540986,-0.265761,-0.213346,0.001000,0.963622,1.175837,-0.263538,0.113182,-2.971305,0.920914,-2.915972,-1.152623,-0.063836,-0.133310,-0.017160,-1.001697,0.458880,-2.915972,-1.406968,-2.915972,0.154613,0.463215
1.700000,0.062702,0.007109,0.549285,-0.268615,-0.213346,0.001000,0.966727,1.179085,-0.268812,0.114914,-2.971255,0.926841,-2.915972,-1.154909,-0.059999,-0.129332,-0.017528,-1.005248,0.458937,-2.915972,-1.411119,-2.915972,0.150573,0.468690
1.750000,0.063361,0.007647,0.557207,-0.271347,-0.213346,0.001000,0.969443,1.181939,-0.273840,0.116569,-2.971097,0.932609,-2.915972,-1.157350,-0.056223,-0.125271,-0.017977,-1.008607,0.459002,-2.915972,-1.415409,-2.915972,0.146373,0.473970
1.800000,0.063864,0.008144,0.567520,-0.274038,-0.213346,0.001000,0.971797,1.184589,-0.281247,0.118752,-2.970922,0.938387,-2.915972,-1.159743,-0.052445,-0.121219,-0.018431,-1.011768,0.459077,-2.915972,-1.419759,-2.915972,0.142033,0.479080
1.850000,0.064308,0.008550,0.574101,-0.276566,-0.213346,0.001000,0.973700,1.186584,-0.285168,0.120119,-2.970609,0.943922,-2.915972,-1.162362,-0.048764,-0.117060,-0.018991,-1.014737,0.459155,-2.915972,-1.424288,-2.915972,0.137519,0.483982
1.900000,0.064644,0.008883,0.580092,-0.278980,-0.213346,0.001000,0.975187,1.188143,-0.288626,0.121359,-2.970215,0.949316,-2.915972,-1.165079,-0.045142,-0.112852,-0.019609,-1.017510,0.459238,-2.915972,-1.428950,-2.915972,0.132842,0.488691
1.950000,0.064874,0.009141,0.585491,-0.281284,-0.213346,0.001000,0.976252,1.189258,-0.291615,0.122472,-2.969747,0.954576,-2.915972,-1.167878,-0.041576,-0.108606,-0.020279,-1.020088,0.459326,-2.915972,-1.433741,-2.915972,0.128003,0.493207
2.000000,0.064997,0.009319,0.590295,-0.283479,-0.213346,0.001000,0.976892,1.189925,-0.294131,0.123457,-2.969212,0.959703,-2.915972,-1.170746,-0.038069,-0.104332,-0.020995,-1.022470,0.459417,-2.915972,-1.438662,-2.915972,0.123002,0.497532
2.050000,0.065014,0.009415,0.594490,-0.285565,-0.213346,0.001000,0.977105,1.190139,-0.296160,0.124310,-2.968614,0.964695,-2.915972,-1.173675,-0.034623,-0.100037,-0.021755,-1.024657,0.459512,-2.915972,-1.443712,-2.915972,0.117837,0.501665
2.100000,0.064834,0.009366,0.598149,-0.281837,-0.213346,0.001000,0.977052,1.190812,-0.303434,0.125268,-2.964788,0.960603,-2.915972,-1.182410,-0.035530,-0.093583,-0.025955,-1.019963,0.459049,-2.915972,-1.448537,-2.915972,0.113163,0.496720
2.150000,0.057651,0.004504,0.601473,-0.277977,-0.213346,0.011819,0.967117,1.170791,-0.310511,0.126166,-2.960919,0.956339,-2.915972,-1.191206,-0.036538,-0.087104,-0.030242,-1.015075,0.458603,-2.915972,-1.453512,-2.915972,0.108321,0.491576
2.200000,0.051695,0.000164,0.263756,-0.274064,-0.213346,0.023313,0.954735,1.136716,0.015999,0.055237,-2.957083,0.952053,-2.915972,-1.199878,-0.037593,-0.080693,-0.034555,-1.009992,0.458178,-2.915972,-1.458563,-2.915972,0.103334,0.486261
