time,chassis_x,chassis_y,chassis_yaw,head_joint1,head_joint2,leg_joint1,leg_joint2,leg_joint3,leg_joint4,leg_joint5,left_arm_joint1,left_arm_joint2,left_arm_joint3,left_arm_joint4,left_arm_joint5,left_arm_joint6,left_arm_joint7,right_arm_joint1,right_arm_joint2,right_arm_joint3,right_arm_joint4,right_arm_joint5,right_arm_joint6,right_arm_joint7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,1.000000,-0.700000,-0.400000,-1.570000,0.000000,0.000000,0.000000,-1.000000,0.700000,0.400000,1.570000,0.000000,0.000000,0.000000
0.100000,0.000000,0.000000,0.000000,-0.013243,0.015024,0.273915,0.656818,0.367879,0.013243,0.000000,0.994740,-0.653679,-0.431369,-1.442442,-0.047267,-0.128789,0.061555,-1.032407,0.706912,0.401684,1.374729,-0.007436,0.195447,0.021586
0.150000,0.000000,0.000000,0.000000,-0.013798,0.015594,0.277000,0.663384,0.370790,0.013798,0.000000,0.994684,-0.654047,-0.430695,-1.442778,-0.046911,-0.128476,0.061655,-1.034145,0.711364,0.398558,1.375588,-0.011979,0.194343,0.026838
0.200000,0.000000,0.000000,0.000000,-0.014377,0.016168,0.280094,0.669950,0.373688,0.014377,0.000000,0.994623,-0.654501,-0.429937,-1.443322,-0.046467,-0.127962,0.061674,-1.035846,0.715825,0.395419,1.376335,-0.016519,0.193256,0.032071
0.250000,0.000000,0.000000,0.000000,-0.014970,0.016738,0.283179,0.676498,0.376581,0.014970,0.000000,0.994559,-0.655037,-0.429107,-1.444073,-0.045941,-0.127249,0.061607,-1.037510,0.720286,0.392277,1.377019,-0.021050,0.192170,0.037283
0.300000,0.000000,0.000000,0.000000,-0.015576,0.017303,0.286248,0.683019,0.379468,0.015576,0.000000,0.994492,-0.655653,-0.428205,-1.445031,-0.045331,-0.126336,0.061456,-1.039137,0.724746,0.389134,1.377647,-0.025570,0.191078,0.042469
0.350000,0.000000,0.000000,0.000000,-0.016193,0.017861,0.289297,0.689501,0.382343,0.016193,0.000000,0.994424,-0.656348,-0.427233,-1.446192,-0.044641,-0.125227,0.061221,-1.040724,0.729200,0.385992,1.378226,-0.030075,0.189974,0.047625
0.400000,0.000000,0.000000,0.000000,-0.016821,0.018411,0.292320,0.695935,0.385205,0.016821,0.000000,0.994354,-0.657122,-0.426193,-1.447554,-0.043870,-0.123923,0.060902,-1.042268,0.733644,0.382854,1.378767,-0.034560,0.188850,0.052746
0.450000,0.000000,0.000000,0.000000,-0.017456,0.018952,0.295312,0.702311,0.388048,0.017456,0.000000,0.994281,-0.657973,-0.425085,-1.449113,-0.043020,-0.122425,0.060499,-1.043768,0.738077,0.379722,1.379275,-0.039022,0.187701,0.057827
0.500000,0.000000,0.000000,0.000000,-0.018097,0.019482,0.298267,0.708618,0.390870,0.018097,0.000000,0.994205,-0.658901,-0.423913,-1.450866,-0.042092,-0.120738,0.060014,-1.045221,0.742494,0.376599,1.379761,-0.043458,0.186519,0.062865
0.550000,0.000000,0.000000,0.000000,-0.018743,0.020000,0.301180,0.714847,0.393666,0.018743,0.000000,0.994127,-0.659903,-0.422677,-1.452809,-0.041088,-0.118864,0.059447,-1.046626,0.746892,0.373486,1.380232,-0.047865,0.185297,0.067853
0.600000,0.000000,0.000000,0.000000,-0.019391,0.020506,0.304047,0.720986,0.396434,0.019391,0.000000,0.994047,-0.660979,-0.421380,-1.454937,-0.040008,-0.116805,0.058800,-1.047981,0.751269,0.370385,1.380697,-0.052238,0.184031,0.072789
0.650000,0.000000,0.000000,0.000000,-0.020040,0.020997,0.306862,0.727027,0.399168,0.020040,0.000000,0.993963,-0.662128,-0.420022,-1.457245,-0.038856,-0.114566,0.058074,-1.049285,0.755622,0.367299,1.381165,-0.056575,0.182712,0.077666
0.700000,0.000000,0.000000,0.000000,-0.020688,0.021474,0.309620,0.732959,0.401865,0.020688,0.000000,0.993876,-0.663347,-0.418606,-1.459728,-0.037632,-0.112150,0.057271,-1.050535,0.759947,0.364229,1.381644,-0.060872,0.181334,0.082480
0.750000,0.000000,0.000000,0.000000,-0.021332,0.021934,0.312316,0.738772,0.404522,0.021332,0.000000,0.993785,-0.664636,-0.417134,-1.462380,-0.036337,-0.109561,0.056391,-1.051730,0.764242,0.361177,1.382145,-0.065128,0.179891,0.087227
0.800000,0.000000,0.000000,0.000000,-0.021970,0.022378,0.314946,0.744457,0.407133,0.021970,0.000000,0.993691,-0.665993,-0.415607,-1.465195,-0.034975,-0.106804,0.055437,-1.052868,0.768505,0.358145,1.382674,-0.069338,0.178378,0.091902
0.850000,0.000000,0.000000,0.000000,-0.022601,0.022804,0.317505,0.750005,0.409696,0.022601,0.000000,0.993592,-0.667415,-0.414028,-1.468168,-0.033547,-0.103883,0.054411,-1.053950,0.772732,0.355134,1.383241,-0.073501,0.176787,0.096501
0.900000,0.000000,0.000000,0.000000,-0.023222,0.023211,0.319988,0.755405,0.412206,0.023222,0.000000,0.993489,-0.668902,-0.412398,-1.471291,-0.032055,-0.100803,0.053314,-1.054972,0.776921,0.352145,1.383856,-0.077613,0.175113,0.101018
0.950000,0.000000,0.000000,0.000000,-0.023831,0.023599,0.322391,0.760650,0.414659,0.023831,0.000000,0.993381,-0.670452,-0.410719,-1.474557,-0.030501,-0.097570,0.052148,-1.055935,0.781070,0.349180,1.384525,-0.081673,0.173350,0.105450
